Threshold,m,Number of Bets,Wins,Losses,Total Invested,Total Profit,ROI (%),Win Rate (%),Score (ROI * sqrt(Number of Bets))
1.1,0.39999999999999997,914,517,397,13710.0,27273.244755065476,198.92957516459134,56.564551422319475,6014.125036104639
1.1,0.44999999999999996,845,504,341,12675.0,27078.244755065476,213.6350671011083,59.64497041420118,6210.132921405492
1.1,0.49999999999999994,674,430,244,10110.0,23445.876223091975,231.9077766873588,63.798219584569736,6020.676056935948
1.1,0.5499999999999999,399,284,115,5985.0,15638.376223091976,261.2928358077189,71.17794486215539,5219.320307447262
1.1,0.5999999999999999,199,149,50,2985.0,8171.4,273.74874371859295,74.87437185929649,3861.7012524034108
1.1,0.6499999999999999,71,58,13,1065.0,3364.5,315.9154929577465,81.69014084507043,2661.951259328813
1.1,0.7,30,24,6,450.0,1309.5,291.0,80.0,1593.8726423400335
1.1,0.7499999999999999,2,2,0,30.0,111.0,370.0,100.0,523.2590180780452
1.1500000000000001,0.35,849,471,378,12735.0,25709.029606550623,201.87695018885452,55.47703180212014,5882.2107461313135
1.1500000000000001,0.39999999999999997,837,469,368,12555.0,25680.529606550623,204.54424218678312,56.033452807646356,5917.659710463895
1.1500000000000001,0.44999999999999996,775,457,318,11625.0,25454.029606550623,218.95939446495157,58.96774193548387,6095.571567043992
1.1500000000000001,0.49999999999999994,619,389,230,9285.0,21993.726223091973,236.87373422823882,62.84329563812601,5893.34995853085
1.1500000000000001,0.5499999999999999,363,257,106,5445.0,14749.176223091978,270.875596383691,70.79889807162535,5160.873250137805
1.1500000000000001,0.5999999999999999,180,136,44,2700.0,7798.2,288.82222222222225,75.55555555555556,3874.9567338086363
1.1500000000000001,0.6499999999999999,65,56,9,975.0,3359.25,344.53846153846155,86.15384615384616,2777.7578811253234
1.1500000000000001,0.7,28,24,4,420.0,1339.5,318.92857142857144,85.71428571428571,1687.6113719861996
1.1500000000000001,0.7499999999999999,2,2,0,30.0,111.0,370.0,100.0,523.2590180780452
1.2000000000000002,0.35,794,445,349,11910.0,24981.529606550623,209.75255756969457,56.04534005037783,5910.408743325648
1.2000000000000002,0.39999999999999997,784,443,341,11760.0,24923.029606550623,211.9305238652264,56.505102040816325,5934.054668226339
1.2000000000000002,0.44999999999999996,725,431,294,10875.0,24651.529606550623,226.68073201425858,59.44827586206897,6103.565502493365
1.2000000000000002,0.49999999999999994,581,371,210,8715.0,21560.226223091973,247.39215402285683,63.85542168674698,5963.126029497619
1.2000000000000002,0.5499999999999999,342,245,97,5130.0,14435.676223091978,281.39719733122763,71.6374269005848,5203.946470874532
1.2000000000000002,0.5999999999999999,171,129,42,2565.0,7586.7,295.77777777777777,75.43859649122807,3867.796329235091
1.2000000000000002,0.6499999999999999,62,53,9,930.0,3267.75,351.3709677419355,85.48387096774194,2766.69776669915
1.2000000000000002,0.7,25,21,4,375.0,1248.0,332.8,84.0,1664.0
1.2000000000000002,0.7499999999999999,2,2,0,30.0,111.0,370.0,100.0,523.2590180780452
1.25,0.35,740,414,326,11100.0,23893.729606550623,215.25882528423983,55.945945945945944,5855.673127697247
1.25,0.39999999999999997,730,412,318,10950.0,23835.229606550623,217.67332974018836,56.43835616438356,5881.209509151325
1.25,0.44999999999999996,675,400,275,10125.0,23503.729606550623,232.13560105235183,59.25925925925925,6031.059829023191
1.25,0.49999999999999994,544,346,198,8160.0,20629.926223091978,252.8177233222056,63.60294117647059,5896.671931424359
1.25,0.5499999999999999,324,233,91,4860.0,14051.676223091976,289.129140392839,71.91358024691358,5204.324527071102
1.25,0.5999999999999999,165,125,40,2475.0,7481.7,302.29090909090905,75.75757575757575,3882.997033688844
1.25,0.6499999999999999,59,50,9,885.0,3173.25,358.5593220338983,84.7457627118644,2754.1464117993287
1.25,0.7,23,19,4,345.0,1188.75,344.5652173913044,82.6086956521739,1652.4767314023175
1.25,0.7499999999999999,1,1,0,15.0,82.5,550.0,100.0,550.0
1.3,0.35,679,389,290,10185.0,23206.776223091976,227.85249114474203,57.2901325478645,5937.295553740538
1.3,0.39999999999999997,670,387,283,10050.0,23133.276223091976,230.18185296608934,57.76119402985075,5958.109535866606
1.3,0.44999999999999996,629,377,252,9435.0,22753.026223091976,241.155550854181,59.93640699523053,6048.150445896316
1.3,0.49999999999999994,507,327,180,7605.0,20033.376223091975,263.42375046800754,64.49704142011834,5931.423156502153
1.3,0.5499999999999999,304,222,82,4560.0,13723.176223091976,300.94684699763104,73.02631578947368,5247.187573759483
1.3,0.5999999999999999,155,119,36,2325.0,7307.7,314.30967741935484,76.77419354838709,3913.123926547194
1.3,0.6499999999999999,56,48,8,840.0,3115.5,370.8928571428571,85.71428571428571,2775.5079972605267
1.3,0.7,23,19,4,345.0,1188.75,344.5652173913044,82.6086956521739,1652.4767314023175
1.3,0.7499999999999999,1,1,0,15.0,82.5,550.0,100.0,550.0
1.35,0.35,645,377,268,9675.0,22957.776223091976,237.28967672446487,58.44961240310077,6026.410373398137
1.35,0.39999999999999997,636,375,261,9540.0,22884.276223091976,239.87710925672928,58.9622641509434,6049.47051557837
